"Count","CQ","HW","AT","UT","FE","Total","Grade"
1,93,92.37,100,71,54,74.4555,"C"
2,92,88.77,90,82.33,100,88.1805,"B"
3,96,69.21,100,73.33,78,77.2465,"C"
4,92,92.72,100,73.33,85,81.773,"B"
5,100,84.74,90,70,45,71.211,"C"
6,97,93.33,100,64,78,76.2995,"C"
7,89,88.73,90,71,70,76.2095,"C"
8,100,97.72,100,96,98,97.258,"A"
9,99,90.35,100,98.33,100,97.6175,"A"
10,87,78.86,100,71.33,71,75.394,"C"
11,99,95.44,100,90.33,96,93.581,"A"
12,62,86.84,100,60.67,79,70.361,"C"
13,54,14.47,90,36.33,0,30.2355,"F"
14,85,87.46,100,57,73,69.719,"D"
15,73,71.32,70,52,40,55.498,"F"
16,85,76.58,90,62.67,54,66.622,"D"
17,91,90.79,100,86,80,86.7185,"B"
18,89,90.79,100,74.33,62,77.0835,"C"
19,97,84.56,90,75.17,75,79.469,"C"
20,100,98.16,100,91,100,95.224,"A"
21,100,92.98,100,79,67,81.847,"B"
22,81,88.25,80,64.33,55,68.5025,"D"
23,22,77.89,100,58,51,58.0835,"F"
24,97,93.68,100,64.33,51,71.117,"C"
25,78,77.28,90,66.67,72,71.627,"C"
26,98,82.19,90,71.83,61,74.7435,"C"
27,89,67.02,90,62,56,65.653,"D"
28,68,81.67,90,74.33,71,74.9155,"C"
29,91,90.79,100,67.67,64,74.3535,"C"
30,96,98.07,100,89.67,87,91.5455,"A"
31,95,84.96,90,45.33,53,60.009,"D"
32,100,96.84,100,100,84,96.326,"A"
33,99,78.9,100,97,79,91.035,"A"
34,99,97.46,100,88.83,94,92.734,"A"
35,75,51.32,70,58.67,0,48.033,"F"
36,83,86.32,100,77,74,79.548,"C"
37,97,91.49,100,81,74,83.7235,"B"
38,100,95.7,100,78.33,98,88.12,"B"
39,97,85.44,90,63.67,32,65.251,"D"
40,98,93.51,100,87.33,100,92.4915,"A"
41,85,75.79,100,75.67,52,73.1035,"C"
42,84,57.89,100,50.33,38,54.8485,"F"
43,88,84.65,70,78.33,71,78.3625,"C"
44,80,56.75,100,73,68,71.6125,"C"
45,61,82.02,90,62.33,71,68.268,"D"
46,100,93.33,100,68,46,72.1995,"C"
47,99,92.19,100,69.5,76,78.6785,"C"
48,100,97.54,100,97,81,94.331,"A"
49,87,73.77,100,60.67,49,64.9005,"D"
50,96,89.65,100,67.67,51,72.0825,"C"
51,100,94.12,100,77.67,86,85.153,"B"
52,86,90.44,100,70,64,74.966,"C"
53,94,65.18,100,68.33,52,68.742,"D"
54,88,90.79,100,83.67,68,82.8535,"B"
55,91,95.53,100,82.67,96,88.9645,"B"
56,100,96.4,100,90.33,97,94.025,"A"
57,92,90.61,100,82,81,84.9915,"B"
58,99,95.53,100,84,94,90.0295,"A"
59,100,93.86,100,71.17,65,77.664,"C"
60,62,70.26,100,66,55,65.739,"D"
61,100,95.09,100,87.33,90,90.9285,"A"
62,92,78.25,100,70,88,78.5375,"C"
63,79,74.3,90,69,61,70.245,"C"
64,100,92.72,100,77.33,69,81.373,"B"
65,93,90.79,100,78,88,84.5185,"B"
66,80,68.77,100,64,75,70.3155,"C"
67,96,91.67,100,69.67,67,76.5855,"C"
68,81,87.72,100,64,60,70.258,"C"
69,94,79.39,80,69.67,74,74.9435,"C"
70,62,77.25,70,38.33,60,52.4525,"F"
71,94,94.92,100,79,82,84.538,"B"
72,97,94.25,90,94.33,100,95.5025,"A"
73,100,95.75,100,77,85,84.8625,"B"
74,81,86.58,100,64.67,60,70.422,"C"
75,96,93.25,100,94.33,100,95.7525,"A"
76,52,59.25,100,64,63,63.6875,"D"
77,95,92.67,100,89.67,100,93.2355,"A"
78,92,92.83,100,70.33,70,77.2895,"C"
79,100,94.58,100,84.67,91,89.722,"B"
80,81,53.5,100,72.33,77,72.69,"C"
81,93,73.67,100,49.67,27,55.5855,"F"
82,95,66.17,70,60,73,67.5255,"D"
83,92,81.5,90,75.67,87,81.16,"B"
84,90,81.83,100,71.67,77.5,77.6095,"C"
85,92,96.67,100,82,90,87.7005,"B"
86,98,89.33,100,76,100,86.1995,"B"
87,94,87.75,100,79.67,82,83.7975,"B"
88,99,95.5,100,78,100,88.225,"B"
89,95,92.83,100,76.83,84,83.6395,"B"
90,98,83.25,100,82.67,75,83.6225,"B"
91,93,73.33,90,82,82,82.1995,"B"
92,79,90.5,100,72.67,60,74.81,"C"
93,91,92.33,100,76,100,85.9495,"B"
94,89,75.92,90,63.67,70,70.623,"C"
95,99,98.33,100,98.67,85,95.9845,"A"
96,90,84.42,100,71.67,71,76.698,"C"
